[ 16-06-2021 13:09:37 ] - Teste
[ 16-06-2021 13:09:38 ] - Teste
[ 16-06-2021 13:13:48 ] - Login efetuado pelo usuário DPOATJ1\l.esantos
[ 16-06-2021 13:13:48 ] - Teste
[ 16-06-2021 13:15:41 ] - Teste IP: 172.19.0.1
[ 16-06-2021 13:15:58 ] - Teste | IP: 172.19.0.1
[ 16-06-2021 13:16:12 ] - Login efetuado pelo usuário DPOATJ1\l.esantos | IP: 172.19.0.1
[ 16-06-2021 13:16:12 ] - Teste | IP: 172.19.0.1
[ 16-06-2021 13:16:36 ] - Login efetuado pelo usuário DPOATJ1\l.esantos | IP: 172.19.0.1
[ 16-06-2021 13:38:19 ] - Login efetuado pelo usuário DPOATJ1\l.esantos | IP: 172.19.0.1
[ 16-06-2021 13:38:19 ] - Ticket 112781 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 14:16:51 ] - Ticket 103743 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 14:16:51 ] - Ticket 139860 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 14:16:52 ] - Ticket 165850 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 14:46:39 ] - Ticket 103743 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 14:46:40 ] - Ticket 139860 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 14:46:40 ] - Ticket 165850 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 17:02:58 ] - Ticket 103743 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 17:02:59 ] - Ticket 139860 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 17:02:59 ] - Ticket 165850 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 18:31:08 ] - Ticket 103743 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 18:31:10 ] - Ticket 139860 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 18:31:12 ] - Ticket 165850 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:32 ] - Ticket 242851 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:32 ] - Ticket 243143 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:33 ] - Ticket 241417 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:33 ] - Ticket 238974 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:34 ] - Ticket 238902 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:34 ] - Ticket 243912 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:34 ] - Ticket 244643 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:34 ] - Ticket 244732 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:34 ] - Ticket 88932 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:35 ] - Ticket 245883 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:35 ] - Ticket 245892 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:35 ] - Ticket 245922 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:35 ] - Ticket 245932 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:36 ] - Ticket 245931 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
[ 16-06-2021 21:57:37 ] - Ticket 246082 finalizado com sucesso via api de automação v1.0 | IP: 172.19.0.1
